name,sport_id,stat,fantasy_line,pinnacle_line,over_american,under_american,hit_percent,over_under
Jordan Hawkins,NBA,Points,10.5,9.5,-139,+104,56.66%,under
Jordan Hawkins,NBA,Pts+Rebs+Asts,14.5,13.5,-136,+102,55.92%,under
Keyonte George,NBA,Pts+Rebs+Asts,30.5,30.5,+110,-147,55.56%,under
Jonathan Marchessault,NHL,Shots On Goal,2.5,2.5,-145,+108,55.31%,over
Keyonte George,NBA,Points,20.5,20.5,+108,-144,55.11%,under
CJ McCollum,NBA,Pts+Rebs+Asts,27.5,26.5,-130,-102,54.71%,under
Kelly Olynyk,NBA,Points,9.5,9.5,+106,-141,54.66%,under
Kevin Durant,NBA,Pts+Rebs+Asts,35.5,34.5,-125,-106,54.65%,under
Ivica Zubac,NBA,Pts+Rebs+Asts,29.5,28.5,-133,+100,54.30%,under
Harrison Barnes,NBA,Pts+Rebs+Asts,14.5,14.5,-137,+104,54.13%,over
Jalen Williams,NBA,Points,21.5,22.5,-103,-129,53.89%,over
Luka Doncic,NBA,Points,29.5,29.5,+102,-136,53.79%,under
Julius Randle,NBA,Pts+Rebs+Asts,26.5,27.5,-105,-126,53.79%,over
Brice Sensabaugh,NBA,3 Point FG,2.5,2.5,+102,-135,53.72%,under
Isaiah Hartenstein,NBA,Pts+Rebs+Asts,26.5,26.5,-135,+102,53.72%,over
Devin Booker,NBA,Pts+Rebs+Asts,38.5,39.5,-108,-123,53.62%,over
Jaden McDaniels,NBA,Rebounds,6.5,6.5,+100,-134,53.51%,under
Zion Williamson,NBA,Pts+Rebs+Asts,36.5,36.5,-133,+100,53.32%,over
Isaiah Collier,NBA,Pts+Rebs+Asts,25.5,27.5,+135,-181,53.19%,over
Dorian Finney-Smith,NBA,Pts+Rebs+Asts,14.5,14.5,-101,-132,53.11%,under
Devin Booker,NBA,Assists,7.5,8.5,+124,-165,53.04%,over
Trey Murphy III,NBA,Points,20.5,20.5,-130,-102,52.81%,over
Naz Reid,NBA,Rebounds,8.5,8.5,-102,-130,52.81%,under
Timo Meier,NHL,Shots On Goal,2.5,2.5,-102,-130,52.81%,under
Norman Powell,NBA,Pts+Rebs+Asts,26.5,27.5,+120,-160,52.60%,under
Keldon Johnson,NBA,Pts+Rebs+Asts,20.5,20.5,-103,-129,52.60%,under
Isaiah Collier,NBA,Points,12.5,13.5,+117,-155,52.57%,over
James Harden,NBA,Pts+Rebs+Asts,36.5,36.5,-103,-128,52.52%,under
Brice Sensabaugh,NBA,Pts+Rebs+Asts,21.5,21.5,-103,-128,52.52%,under
Yves Missi,NBA,Pts+Rebs+Asts,18.5,18.5,-104,-128,52.41%,under
Mike Conley,NBA,3 Point FG,1.5,1.5,-104,-128,52.41%,under
LeBron James,NBA,Pts+Rebs+Asts,43.5,43.5,-104,-127,52.32%,under
Ivan Barbashev,NHL,Shots On Goal,1.5,1.5,-105,-127,52.21%,under
Dougie Hamilton,NHL,Shots On Goal,2.5,2.5,-105,-127,52.21%,under
Amir Coffey,NBA,Points,8.5,8.5,-105,-126,52.12%,under
Nick Richards,NBA,Points,9.5,9.5,-105,-126,52.12%,under
Stephon Castle,NBA,Pts+Rebs+Asts,22.5,22.5,-105,-126,52.12%,under
Mark Stone,NHL,Assists,0.5,0.5,-126,-106,52.01%,over
Jalen Williams,NBA,Pts+Rebs+Asts,32.5,33.5,+112,-148,51.98%,under
Steven Stamkos,NHL,Points,0.5,0.5,-107,-127,51.98%,under
